lookup_type_id,id,description,extracted_time_utc
3,1,1 Day,2025-03-31 21:15:40.733
3,2,2 Day,2025-03-31 21:15:40.733
3,3,3 Day,2025-03-31 21:15:40.733
3,4,4 Day,2025-03-31 21:15:40.733
3,5,5 Day,2025-03-31 21:15:40.733
3,6,6 Day,2025-03-31 21:15:40.733
3,7,Twenty20,2025-03-31 21:15:40.733
3,10,Sixes,2025-03-31 21:15:40.733
3,11,Ten10,2025-03-31 21:15:40.733
3,12,The Hundred,2025-03-31 21:15:40.733
10,1,Right,2025-03-31 21:15:40.733
10,2,Left,2025-03-31 21:15:40.733
11,1,Fast,2025-03-31 21:15:40.733
11,2,Fast-Medium,2025-03-31 21:15:40.733
11,3,Medium,2025-03-31 21:15:40.733
11,4,Orthodox Spin,2025-03-31 21:15:40.733
11,5,Wrist Spin,2025-03-31 21:15:40.733
11,28,Unknown,2025-03-31 21:15:40.733
13,1,Male,2025-03-31 21:15:40.733
13,2,Female,2025-03-31 21:15:40.733
13,3,Mixed,2025-03-31 21:15:40.733
14,0,Unknown,2025-03-31 21:15:40.733
14,1,No movement,2025-03-31 21:15:40.733
14,2,Caught on crease,2025-03-31 21:15:40.733
14,3,Front foot,2025-03-31 21:15:40.733
14,4,Back foot,2025-03-31 21:15:40.733
14,6,Deep in crease,2025-03-31 21:15:40.733
14,7,Down the track,2025-03-31 21:15:40.733
14,8,Ducks,2025-03-31 21:15:40.733
14,9,Sways away,2025-03-31 21:15:40.733
14,10,Moves in front,2025-03-31 21:15:40.733
14,11,Backs away,2025-03-31 21:15:40.733
16,28,Unknown,2025-03-31 21:15:40.733
16,110,Dukes red 156g,2025-03-31 21:15:40.733
16,111,Dukes red 142g,2025-03-31 21:15:40.733
16,120,Dukes white 156g,2025-03-31 21:15:40.733
16,121,Dukes white 142g,2025-03-31 21:15:40.733
16,130,Dukes pink 156g,2025-03-31 21:15:40.733
16,131,Dukes pink 142g,2025-03-31 21:15:40.733
16,210,Kookaburra red 156g,2025-03-31 21:15:40.733
16,211,Kookaburra red 142g,2025-03-31 21:15:40.733
16,212,Kookaburra red 19 156g,2025-03-31 21:15:40.733
16,213,Kookaburra red 19 142g,2025-03-31 21:15:40.733
16,220,Kookaburra white 156g,2025-03-31 21:15:40.733
16,221,Kookaburra white 142g,2025-03-31 21:15:40.733
16,230,Kookaburra pink 156g,2025-03-31 21:15:40.733
16,231,Kookaburra pink 142g,2025-03-31 21:15:40.733
16,310,SG red 156g,2025-03-31 21:15:40.733
16,311,SG red 142g,2025-03-31 21:15:40.733
16,320,SG white 156g,2025-03-31 21:15:40.733
16,321,SG white 142g,2025-03-31 21:15:40.733
16,330,SG pink 156g,2025-03-31 21:15:40.733
16,331,SG pink 142g,2025-03-31 21:15:40.733
16,410,Other red 156g,2025-03-31 21:15:40.733
16,411,Other red 142g,2025-03-31 21:15:40.733
16,420,Other white 156g,2025-03-31 21:15:40.733
16,421,Other white 142g,2025-03-31 21:15:40.733
16,430,Other pink 156g,2025-03-31 21:15:40.733
16,431,Other pink 142g,2025-03-31 21:15:40.733
16,500,Blind,2025-03-31 21:15:40.733
24,0,Unknown,2025-03-31 21:15:40.733
24,1,Leave,2025-03-31 21:15:40.733
24,2,Lofted,2025-03-31 21:15:40.733
24,3,Backward defence,2025-03-31 21:15:40.733
24,4,Forward defence,2025-03-31 21:15:40.733
24,5,Advance,2025-03-31 21:15:40.733
24,6,Cut or dab,2025-03-31 21:15:40.733
24,7,Drive,2025-03-31 21:15:40.733
24,8,Pull,2025-03-31 21:15:40.733
24,9,Sweep,2025-03-31 21:15:40.733
24,10,Glance,2025-03-31 21:15:40.733
24,11,Down leg,2025-03-31 21:15:40.733
24,12,Slog,2025-03-31 21:15:40.733
24,13,Slog attempt,2025-03-31 21:15:40.733
24,14,No Shot,2025-03-31 21:15:40.733
24,15,Slog sweep,2025-03-31 21:15:40.733
24,16,Hook,2025-03-31 21:15:40.733
24,17,Ramp,2025-03-31 21:15:40.733
24,18,Reverse sweep,2025-03-31 21:15:40.733
24,19,Worked,2025-03-31 21:15:40.733
24,20,Pushed,2025-03-31 21:15:40.733
24,21,Flick,2025-03-31 21:15:40.733
24,22,Steer,2025-03-31 21:15:40.733
24,23,Late cut,2025-03-31 21:15:40.733
24,24,Fended,2025-03-31 21:15:40.733
24,25,Dropped,2025-03-31 21:15:40.733
24,26,Paddle,2025-03-31 21:15:40.733
24,27,Switch hit,2025-03-31 21:15:40.733
24,29,Padded,2025-03-31 21:15:40.733
25,-1,Both,2025-03-31 21:15:40.733
25,1,Northern,2025-03-31 21:15:40.733
25,2,Southern,2025-03-31 21:15:40.733
25,28,Unknown,2025-03-31 21:15:40.733
33,0,Unknown,2025-03-31 21:15:40.733
33,1,Bowler,2025-03-31 21:15:40.733
33,3,Keeper,2025-03-31 21:15:40.733
33,4,Slip: 1st,2025-03-31 21:15:40.733
33,6,Slip: 2nd,2025-03-31 21:15:40.733
33,8,Slip: 3rd,2025-03-31 21:15:40.733
33,10,Slip: 4th,2025-03-31 21:15:40.733
33,12,Slip: 5th,2025-03-31 21:15:40.733
33,14,Slip: 6th,2025-03-31 21:15:40.733
33,16,Gully,2025-03-31 21:15:40.733
33,18,Point: silly,2025-03-31 21:15:40.733
33,19,Mid off: silly,2025-03-31 21:15:40.733
33,20,Mid on: silly,2025-03-31 21:15:40.733
33,21,Square leg: short leg,2025-03-31 21:15:40.733
33,22,Fine leg: leg gully,2025-03-31 21:15:40.733
33,24,Fine leg: leg slip,2025-03-31 21:15:40.733
33,31,Slip: fly slip,2025-03-31 21:15:40.733
33,32,Cover: short extra,2025-03-31 21:15:40.733
33,33,Third man: short,2025-03-31 21:15:40.733
33,34,Point: backward,2025-03-31 21:15:40.733
33,35,Point: regulation,2025-03-31 21:15:40.733
33,36,Cover: regulation,2025-03-31 21:15:40.733
33,37,Cover: extra,2025-03-31 21:15:40.733
33,38,Mid off: regulation,2025-03-31 21:15:40.733
33,40,Mid on: regulation,2025-03-31 21:15:40.733
33,41,Midwicket: extra,2025-03-31 21:15:40.733
33,42,Midwicket: regulation,2025-03-31 21:15:40.733
33,43,Square leg: regulation,2025-03-31 21:15:40.733
33,44,Square leg: backward,2025-03-31 21:15:40.733
33,45,Fine leg: short,2025-03-31 21:15:40.733
33,46,Fine leg: fly slip,2025-03-31 21:15:40.733
33,47,Midwicket: short,2025-03-31 21:15:40.733
33,48,Point: deep forward,2025-03-31 21:15:40.733
33,49,Mid off: straight,2025-03-31 21:15:40.733
33,50,Mid off: wide,2025-03-31 21:15:40.733
33,51,Mid on: straight,2025-03-31 21:15:40.733
33,52,Mid on: wide,2025-03-31 21:15:40.733
33,53,Midwicket: backward,2025-03-31 21:15:40.733
33,54,Midwicket: deep backward,2025-03-31 21:15:40.733
33,55,Midwicket: deep forward,2025-03-31 21:15:40.733
33,56,Midwicket: forward,2025-03-31 21:15:40.733
33,60,Long stop,2025-03-31 21:15:40.733
33,61,Third man: regulation,2025-03-31 21:15:40.733
33,62,Point: deep backward,2025-03-31 21:15:40.733
33,63,Point: deep,2025-03-31 21:15:40.733
33,64,Cover: deep,2025-03-31 21:15:40.733
33,65,Cover: deep extra,2025-03-31 21:15:40.733
33,66,Long off: regulation,2025-03-31 21:15:40.733
33,67,Straight hit,2025-03-31 21:15:40.733
33,68,Long on: regulation,2025-03-31 21:15:40.733
33,69,Midwicket: cow corner,2025-03-31 21:15:40.733
33,70,Midwicket: deep,2025-03-31 21:15:40.733
33,71,Square leg: deep,2025-03-31 21:15:40.733
33,72,Square leg: deep backward,2025-03-31 21:15:40.733
