series_id,extracted_time_utc,name,gender_id
3,2025-03-31 15:42:32.893,Aus Domestic 1st Class M,1
4,2025-03-31 15:46:03.187,Aus Domestic OD M,1
10002,2025-03-31 14:37:35.453,International T10 M,1
10005,2025-03-31 13:48:50.017,Other Matches M,1
10019,2025-03-31 13:47:33.623,International List A ODI F,2
10027,2025-03-18 15:05:11.193,Aus Domestic Practice MF,3
30086,2025-03-31 15:40:44.663,Aus Domestic 2nd XI M,1
30096,2025-03-31 14:02:13.477,Aus Domestic U19 M,1
220004,2025-03-31 15:27:29.440,International ODI F,2
220006,2025-03-31 13:12:35.790,International Practice F,2
220008,2025-03-31 15:41:04.337,Aus Domestic T20 F,2
380004,2025-03-31 15:39:48.387,International U19 World Cup M,1
380012,2025-03-30 16:10:18.490,International Tour Matches F,2
380014,2025-03-31 15:44:13.643,International Tour Matches M,1
380015,2025-03-31 15:26:41.727,International U19 M,1
380018,2025-03-31 15:37:41.513,Aus Domestic Practice M,1
690007,2025-03-31 15:42:19.123,Aus Domestic OD F,2
860005,2025-03-31 14:59:53.250,International ODI World Cup F,2
860011,2025-03-30 15:50:43.887,International T20 World Cup F,2
860013,2025-03-31 13:59:02.257,International Tests F,2
880015,2025-03-30 16:03:59.477,International ICC Trophy M,1
880026,2025-03-31 15:02:34.643,International T20 World Cup M,1
920023,2025-03-31 15:38:53.547,International T20 F,2
950002,2025-03-31 15:43:35.303,Aus Domestic T20 M,1
1070019,2025-03-31 15:46:51.737,International Tests M,1
1070029,2025-03-31 15:41:11.127,International T20 M,1
1070030,2025-03-31 15:46:44.023,International ODI M,1
1070056,2025-03-31 13:42:47.603,Aus Domestic U17 M,1
1300004,2025-03-31 15:43:55.563,International ODI World Cup M,1
1450002,2025-03-31 15:39:03.157,International 1st Class M,1
2540003,2025-03-31 14:54:35.660,Aus Domestic Practice F,2
2580003,2025-03-31 14:36:58.017,Aus Domestic U19 F,2
2780011,2025-03-28 15:09:17.883,Aus Domestic U15 F,2
2790012,2025-03-30 15:51:48.587,International U16 M,1
2850001,2025-03-28 15:35:11.250,Aus Domestic U15 M,1
2950001,2025-03-31 15:29:04.077,Aus Domestic Pre Season M,1
3110001,2025-03-25 15:16:57.523,Aus Domestic Pre Season F,2
3450001,2025-03-29 15:17:59.857,Aus Domestic NT Strike League M,1
3550001,2025-03-31 15:05:36.413,Other Matches,3
3550004,2023-06-06 06:45:38.383,Aus Domestic TC Premier Cricket,1
3550005,2025-03-06 15:54:23.060,National Premier Cricket M,1
3550008,2025-03-29 15:06:46.580,Aus Domestic NT Strike League F,2
3600001,2025-03-31 14:29:24.927,SA U19 Practice M,1
3760003,2025-03-30 14:48:38.263,International ODI Warm Up Matches M,1
3780001,2025-03-31 15:10:06.330,SA Redbacks League U14 M,1
3900001,2025-03-28 15:03:51.333,Other Matches F,3
4100001,2025-03-30 15:21:32.563,International Practice Match - M,1
4120001,2025-03-20 15:49:45.523,SA U12 Shield M,1
4120002,2025-03-12 14:54:39.583,SA U16 Practice M,1
4120003,2025-03-23 15:29:25.460,SA Redbacks League U16 M,1
4290001,2025-03-29 15:05:36.873,SA Redbacks League M,1
4290002,2025-03-30 14:25:25.487,SA U17 Practice M,1
4310001,2025-03-30 15:24:43.440,SA U18 Practice F,2
4310002,2025-03-31 15:04:53.273,SA U15 Practice M,1
4310003,2025-03-23 15:14:02.720,SA Redbacks League U18 M,1
4350204,2025-03-31 21:15:40.733,Indian Premier League T20 M,1
4350793,2025-03-29 14:40:29.803,Sri Lanka Dev XI In England M,1
4350803,2025-03-20 15:20:10.907,International T20 World Cup Warmup M,1
4350821,2025-03-28 14:59:21.077,International ODI Warm Up Matches F,2
4350823,2023-06-06 06:45:38.383,International ODI World Cup Qualifiers F,2
4350829,2025-03-31 14:59:19.457,International ODI World Cup League 2 M,1
4350831,2025-03-01 14:49:39.423,England Domestic Other F,2
4350833,2025-03-31 15:22:15.110,England Domestic OD M,1
4350834,2025-03-31 15:21:31.283,England Domestic T20 M,1
4350835,2025-03-30 15:33:40.627,England County Championship M,1
4350837,2025-03-31 14:58:28.457,England Domestic Other M,1
4350845,2025-03-31 15:22:03.740,England Domestic T20 F,2
4350851,2025-03-31 15:03:41.660,NZ Domestic 1st Class M,1
4350858,2025-03-31 15:23:46.757,NZ Domestic OD M,1
4350863,2025-03-31 15:26:20.663,NZ Domestic T20 M,1
4350881,2025-03-30 15:13:50.960,South Africa Domestic 1st Class M,1
4350883,2025-03-30 15:07:32.543,South Africa Domestic T20 M,1
4350888,2025-03-31 15:24:11.727,South Africa Domestic OD M,1
4350897,2025-03-30 15:45:42.900,Pakistan Domestic T20 M,1
4350899,2023-06-06 06:45:38.383,Pakistan Domestic 1st Class M,1
4350903,2025-03-30 15:42:16.607,Pakistan Domestic OD M,1
4350917,2025-03-30 15:47:32.163,International List A ODI M,1
4350919,2025-03-31 15:07:45.010,International List A T20 M,1
4350929,2023-06-06 06:45:38.383,West Indies Domestic T20 M,1
4350985,2025-03-31 13:23:37.310,Indian Premier League T20 F,2
4350987,2025-03-31 14:56:45.900,England Domestic The Hundred F,2
4350989,2025-03-31 14:56:34.083,England Domestic The Hundred M,1
4390001,2025-03-30 15:05:16.207,International List A F,2
4390002,2025-03-31 13:08:50.620,International List A T20 F,2
4390003,2025-03-27 03:36:11.390,International List A 1st Class F,2
4860001,2025-03-07 14:43:06.780,International Training Match - M,1
5180007,2025-03-26 14:28:00.247,International Inclusion Series - T20I,3
5180009,2025-03-19 14:48:45.637,International Inclusion Series - ODI,3
5180013,2025-03-28 14:46:18.290,International T20 World Cup Qualifier M,1
5180015,2025-03-14 14:59:42.903,West Indies Domestic T20 F,2
5180022,2025-03-29 14:18:29.270,International T20 World Cup - Warm Up F,2
5180027,2025-03-31 13:49:18.227,Aus Domestic U16 F,2
5180029,2025-03-31 13:40:50.800,International U19 World Cup F,2
5180034,2025-03-25 14:43:00.080,International T20 World Cup Qualifier F,2
5180036,2025-03-25 14:54:29.730,West Indies Domestic OD F,2
5180040,2025-03-30 14:42:13.310,International U19 F,2
5180045,2025-03-30 14:53:28.360,International ODI World Cup Qualifiers M,1
5180051,2025-03-31 14:54:23.270,UAE Domestic T20 M,1
5180057,2025-03-31 14:50:49.037,Sri Lanka Domestic T20 M,1
5180060,2025-03-30 14:49:54.457,USA Domestic T20 M,1
5460008,2025-03-19 15:10:37.263,International T20 World Cup - Warm Up M,1
5460043,2025-03-30 16:04:10.957,Other Matches M,1
6060004,2025-03-27 14:08:58.197,Cricket ACT Pathway M,1
6060005,2025-03-24 14:16:52.793,Cricket ACT Pathways F,2
6150016,2025-03-31 13:12:59.670,Aus Domestic 2nd XI F,2
6380015,2025-03-31 14:41:40.877,Canada Domestic T20 M,1
6380018,2025-03-31 14:40:44.243,England Domestic OD F,2
6380027,2025-01-21 03:58:31.560,Gold Standard - CA,3
6380034,2025-03-20 14:20:01.613,Aus Domestic T20 A F,2
6380056,2025-03-31 14:38:03.810,Global Super League M,1
6730001,2025-03-31 13:49:36.850,SA Premier Cricket M,1
6740001,2025-03-31 13:37:35.973,Cricket TAS Practice F,2
